"","Project-Id-Version: cinelerra 5.0\nReport-Msgid-Bugs-To: cinelerra@lists.cinelerra-cv.org\nPOT-Creation-Date: 2016-02-22 11:56+0100\nPO-Revision-Date: 2016-02-24 02:09+0100\nLast-Translator: Danny Schmarsel <danny@schmarsel.de>\nLanguage-Team: de <de@li.org>\nLanguage: de\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\nX-Generator: Poedit 1.8.6\n"
"bad scan time: %s\n","Falsche Scan-Zeit: %s\n"
"bad title: %s\n","Falscher Titel: %s\n"
"bad scan date: %s\n","Falsches Scan-Datum: %s\n"
"start time late: %s\n","Startzeit spät: %s\n"
"zero duration: %s\n","Dauer ist null: %s\n"
"end channel info, start record","Beende Kanalinfo, starte Aufnahme"
"Start:","Beginn:"
": Channel Info",": Kanalinfo"
"Start Cron","Starte Cron"
"capture driver not dvb\n","Capture-Treiber nicht dvb\n"
"cannot open dvb video device\n","Kann DVB-Videogerät nicht öffnen\n"
"Delete all clips.","Alle Clips löschen."
"***MUTE***\n","*** STUMM ***\n"
"***UNMUTE***\n","*** NICHT STUMM ***\n"
"cut clip %d in edit @%f %f-%f, clip @%f-%f\n","Schneide Clip %d in Bearbeitung @%f %f-%f, clip @%f-%f\n"
": Confirm Quit",": Beenden bestätigen"
"( Answering ""No"" will destroy changes )","( Auswahl von ""Nein"" löscht Änderungen )"
"The following files exist:\n","Die folgenden Dateien existieren:\n"
"Won't overwrite existing files.\n","Überschreibe keine vorhandenen Dateien.\n"
"Crop Video...","Video schneiden ..."
": Crop",": Schneiden"
"Select a region to crop in the video output window","Wähle eine Region um die Videoausgabe zu beschneiden"
"insert assets","Assets einfügen"
"mask translate","Maskenverschiebung"
"mask point","Masken-Punkt"
": Camera",": Kamera"
": Projector",": Projektor"
"Multiply alpha","Multipliziere Alpha"
"Subtract alpha","Subtrahiere Alpha"
"mask mode","Masken-Modus"
"mask feather","Masken-Feder"
"Mask number:","Masken-Nr:"
"Press Ctrl to move a point","Drücke STRG um Punkt zu verschieben"
"Press Alt to translate the mask","Drücke Alt um Maske zu verschieben"
"Press Shift to edit bezier curve","Drücke Shift um Bezier-Kurve zu bearbeiten"
": Ruler",": Lineal"
"count","Zähler"
"failed delete clip id %d\n","Löschung fehlgeschlagen, Clip-ID %d\n\n"
"lost","verloren"
"  only first audio stream will be used\n","  nur der erste Audio-Stream wird verwendet\n"
"  only first video stream will be used\n","  nur der erste Video-Stream wird verwendet\n"
"DeviceV4L2Base::v4l2_open  attempting format %4.4s\n","DeviceV4L2Base::v4l2_open  versuche Format %4.4s\n\n"
"DeviceV4L2Base::v4l2_open jpeg driver and best_format not mjpeg (%4.4s)\n","DeviceV4L2Base::v4l2_open jpeg-Treiber und best_format nicht mjpeg (%4.4s)\n\n"
"DeviceV4L2Base::v4l2_open mpeg driver and best_format not mpeg (%4.4s)\n","DeviceV4L2Base::v4l2_open mpeg-Treiber und best_format nicht mpeg (%4.4s)\n"
"DeviceV4L2Base::v4l2_open  config geom %dx%d != %dx%d best_geom\n","DeviceV4L2Base::v4l2_open  config geom %dx%d != %dx%d best_geom\n\n"
"Use FFMPEG","Nutze FFMPEG"
": Create DVD",": DVD erstellen"
": Edit length",": Länge bearbeiten"
"Next label ( ctrl -> )","Nächste Markierung ( Strg -> )"
"Previous label ( ctrl <- )","Vorherige Markierung (Strg <- )"
"Next edit ( alt -> )","Nächster Edit (alt ->)"
"Previous edit (alt <- )","Vorheriger Edit (alt <-)"
"Commercial ( shift X )","Commercial (Shift X)"
"Set transition","Übergang festlegen"
"Toggle label at current position ( l )","Markierung an aktueller Position anzeigen ( l )"
"Fit autos to display ( Alt + f )","Auswahl an Anzeige anpassen (Alt + F)"
": Attach Effect",": Effekt anhängen"
": Set edit title",": Bearb.titel festl."
"Feather Edits...","Feder-Bearb. ..."
": Feather Edits",": Feder-Bearb."
"Feather by how many samples:","Feder für wie viele Samples:"
"Feather by how many frames:","Feder für wie viele Frames:"
"FFMPEG::read_options: err reading %s: line %d\n","FFMPEG::read_options: Fehler beim Lesen von %s: Zeile %d\n"
"Raw DV format does not support following resolution: %ix%i framerate: %f\nAllowed resolutions are 720x576 25fps (PAL) and 720x480 29.97fps (NTSC)\n","Raw DV-Format unterstützt folgende Auflösung nicht: %ix%i Framerate: %f\nErlaubte Auflösungen sind 720x576 25fps (PAL) und 720x480 29.97fps (NTSC)\n"
"Suggestion: Proper frame rate for NTSC DV is 29.97 fps, not 30 fps\n","Vorschlag: Die richtige Framerate für NTSC DV ist 29.97 fps, nicht 30 fps\n"
"Raw DV format does not support following audio configuration : %i channels at sample rate: %iHz\n","Raw DV-Format unterstützt folgende Audio-Konfiguration nicht: %i Kanäle bei Abtastrate: %iHZ\n"
"Error while opening ""%s"" for writing. \n%m\n","Fehler beim Öffnen von ""%s"" zum Beschreiben. \n%m\n"
"Error while opening ""%s"" for reading. \n%m\n","Fehler beim Öffnen von ""%s"" zum Lesen. \n%m\n"
"ERROR: Unable to allocate memory for audio_sample_buffer.\n","Fehler: Kann keinen Speicher für audio_sample_buffer zuweisen\n"
"ERROR: Unable to allocate memory for audio_sample_buffer channel %d\n","Fehler: Kann keinen Speicher für audio_sample_buffer-Kanal %d zuweisen\n"
"ERROR: Unable to reallocate memory for audio_sample_buffer channel %d\n","Fehler: Neuzuweisung von Speicher für audio_sample_buffer-Kanal %d fehlgeschlagen\n"
"Unable to store sample","Kann Sample nicht speichern"
"Unable to set audio write position to %ji\n","Kann Audio-Schreibposition nicht zu %ji setzen\n"
"Unable to read from audio buffer file\n","Audiopufferdatei nicht lesbar\n"
"ERROR: unable to encode audio frame %d\n","FEHLER: Kann Audioframe %d nicht enkodieren\n"
"ERROR: Unable to relocate for audio write to %ji\n","FEHLER: Neuzuweisung nicht möglich für Audio-Schreiben auf %ji\n"
"Unable to write audio to audio buffer\n","Kann Audio nicht auf Audiopuffer schreiben\n"
"Unable to seek file to %ji\n","Kann in Datei nicht nach %ji suchen\n"
"Unable to write video data to video buffer","Kann Videodaten nicht in Videopuffer schreiben"
"Error decoding audio frame %d\n","Fehler beim Dekodieren von Audioframe %d\n"
"Unable to seek file to %ji","Kann in Datei nicht nach %ji suchen"
": Audio Compression",": Audio-Komprimierung"
": Video Compression",": Video-Komprimierung"
"== open failed\n","== Öffnen ist fehlgeschlagen\n"
"Preset:","Voreinstellung:"
"Creating %s\n","Erstelle %s\n"
": File Format",": Dateiformat"
"toc path:%s\n","Toc-Pfad:%s\n"
"title path:\n","Titel-Pfad:\n"
"  transport stream\n","Transport-Stream\n"
"%ld samples","%ld Samples"
"%d interleaves\n","%d Interleaves\n"
"current program %d = title %d, angle %d, interleave %d\n\n","aktuelles Program %d = Titel %d, Winkel %d, Interleave %d\n"
"\nsystem time: %s","\nSystemzeit: %s"
"Couldn't open %s: invalid table of contents version.\nRebuilding the table of contents.","Konnte %s nicht öffnen: falsche Version vom Inhaltsverzeichnis.\nInhaltsverzeichnis wird neu erstellt."
"Couldn't open %s: table of contents out of date.\nRebuilding the table of contents.","Konnte %s nicht öffnen: Inhaltsverzeichnis veraltet.\nInhaltsverzeichnis wird neu erstellt."
"Couldn't open %s: table of contents corrupt.\nRebuilding the table of contents.","Konnte %s nicht öffnen: Inhaltsverzeichnis defekt.\nInhaltsverzeichnis wird neu erstellt."
"Couldn't open %s: rebuild failed.\n","Konnte %s nicht öffnen: Neuerstellung gescheitert.\n"
"Unsupported aspect ratio %f\n","Nicht unterstütztes Seitenverhältnis %f\n"
"Error while opening ""%s"" for writing\n%m\n","Fehler beim Öffnen von ""%s"" zum Beschreiben\n%m\n"
"ampeg_derivative=%d\n","ampeg_derivative =%d\n"
"cant init toc index\n","Toc-Index kann nicht initialisiert werden\n"
"cant access commercials database","Kein Zugang zur Werbespots-Datenbank"
"toc scan stopped before eof","Toc-Scan vor EOF gestoppt"
"twolame error encoding audio: %d\n","Twolame-Fehler bei Audioenkodierung: %d\n"
"unknown driver %d\n","unbekannter Treiber %d\n"
"No options for MPEG transport stream.","Keine Optionen für MPEG-Transport-Stream."
"FileOGG: There is no more data in the file we are reading from\n","FileOGG: Es gibt keine weiteren Daten in der Datei, aus der wir lesen\n"
"FileOGG: WARNING: Encoding theora when width or height are not dividable by 16 is suboptimal\n","FileOGG: WARNUNG: Enkodieren von Theora wenn Breite und Höhe nicht durch 16 teilbar sind, ist suboptimal\n"
"FileOGG: initialization of theora codec failed\n","FileOGG: Initialisierung von Theora-Codec gescheitert\n"
"The Vorbis encoder could not set up a mode according to\nthe requested quality or bitrate.\n\n","Der Vorbis-Enkoder konnte keinen Modus einrichten,\nbasierend auf der angeforderten Qualität o. Bitrate.\n\n"
"Internal Ogg library error.\n","Interner OGG-Bibliotheksfehler.\n"
"FileOGG: Error parsing Theora stream headers; corrupt stream?\n","FileOGG: Fehler beim Parsen der Theora-Streamheader; korrupter Stream?\n"
"FileOGG: Error parsing Vorbis stream headers; corrupt stream?\n","FileOGG: Fehler beim Parsen der Vorbis-Streamheader; korrupter Stream?\n"
"error writing audio page\n","Fehler beim Schreiben der Audio-Page\n"
"error writing video page\n","Fehler beim Schreiben der Video-Page\n"
"Average bitrate","Durchschnittliche Bitrate"
"Keyframe force frequency:","erzwinge Keyframe-Frequenz:"
"Fixed quality","Feste Qualität"
"ULAW compression is only available in\nQuicktime Movies and PCM files.","ULAW Kompression ist nur in\nQuicktime-Filmen und PCM-Dateien verfügbar."
"Set ffmpeg file type","ffmpeg-Dateityp festlegen"
"DAT Audio","DAT-Audio"
"Custom","Benutzerdefiniert"
"Select a file to write to:","Wählen Sie eine Datei zum Beschreiben:"
"MPEG stream","MPEG-Stream"
": File format",": Dateiformat"
"Set parameters for this audio format:","Parameter für dieses Audio-Format wählen:"
"Set parameters for this video format:","Parameter für dieses Video-Format wählen:"
"Video is not supported in this format.","Video wird in diesem Format nicht unterstützt."
"write_frame: incomplete frame received.\n","write_frame: unvollständige Frames empfangen.\n"
"IndexState::read_markers marker file version mismatched\n: %s\n","IndexState::read_markers Marker Dateiversion stimmt nicht überein  n %s\n"
"Clicking on edit boundaries does what:","Klick auf Bearbeitungsgrenzen macht:"
"ffmpeg probe warns rebuild indecies","ffmpeg-probe warnt bei Rebuild-Indizes"
"Scan for commercials during toc build","Scanne nach Werbespots während toc-Erzeugung"
"Android Remote Control","Android-Fernbedienung"
"apply preset","Voreinstellung anwenden"
"edit keyframe","Keyframe bearbeiten"
"Edit value:","Wert bearbeiten:"
"Apply to all selected keyframes","Anwendung auf alle ausgewählten Keyframes"
"delete keyframe","Keyframe löschen"
"Make linear","Linearisieren"
"make linear curve","Lineare Kurve erstellen"
"Make bezier","Bezier erstellen"
"make bezier curve","Bezier-Kurve erstellen"
"Hide keyframe type","Verstecke Keyframe-Typ"
": Load",": Laden"
": Could not set locale.\n",": Sprache nicht anwendbar.\n"
"%s: -c needs a filename.\n","%s:. -c benötigt einen Dateinamen.\n"
"-b may not be used by the user.\n","-b sollte nicht vom Anwender genutzt werden.\n"
"-d = Run in the background as renderfarm client.  The port (400) is optional.\n","-d = Im Hintergrund als Render-Farm-Client starten. Der Port (400) ist optional.\n"
"Change to linear","Zu Linear wechseln"
"Change to bezier","Zu Bezier wechseln"
"Create bezier","Bezier erstellen"
"Shift+Space","Shift + Leer"
"Detach transitions","Übergänge abtrennen"
"Add subttl","Unttl hzfg"
"paste subttl","Unttl einfg."
"Typeless keyframes","Typlose Keyframes"
"Split X pane","Teile X-Bereich"
"Split Y pane","Teile Y-Bereich"
" find timeline frame_id(%d) failed\n"," find timeline frame_id(%d) gescheitert\n"
"Attach Effect...","Effekt anhängen..."
"Attach Effect","Effekt anhängen"
"Attach Transition...","Übergang anhängen..."
"Attach Transition","Übergang anhängen"
"Select transition from list","Übergang von Liste wählen"
"Shuffle Edits","Bearb.vorg. mischen"
"Reverse Edits","Bearb.vorg. umkehren"
"Align Edits","Bearb.vorg. ausrichten"
"No recordable tracks specified.","Keine aufzuzeichnenden Spuren angegeben."
"No output file specified.","Keine Ausgabedatei angegeben."
"No effect selected.","Kein Effekt gewählt."
"No selected range to process.","Kein Bereich zum Bearbeiten ausgewählt."
"Set up effect panel and hit ""OK""","Effekt einrichten und ""OK"" drücken"
": Effect Prompt",": Effekt-Abfrage"
"recieve message failed\n","Empfang d. Nachricht fehlgeschlagen\n"
"send message failed\n","Senden d. Nachricht fehlgeschlagen\n"
"multiple video tracks","mehrere Videospuren"
"crosses edits","kreuzt Bearbeitungen"
"not asset","kein Asset"
"db failed","db fehlgeschlagen"
"Loading %s","Lade %s"
"%s's resolution is %dx%d.\nImages with odd dimensions may not decode properly.","%s's Auflösung ist %dx%d.\nBilder mit merkwürdigen Auflösung dekodieren u.U. nicht richtig."
"Initializing Plugins","Initialisiere Plugins"
"Initializing Fonts","Initialisiere Fonts"
"Using %s","Verwende %s"
"select asset","Asset wählen"
"add track","Spur hinzufügen"
"asset to all","Asset zu allem"
"set linear","Wähle linear"
"set bezier","Wähle Bezier"
"detach transitions","Übergänge abtrennen"
"attach transitions","Übergänge anhängen"
"No default transition %s found.","Kein Standard-Übergang %s gefunden."
"shuffle edits","Bearb.vorg. mischen"
"reverse edits","Bearb.vorg. umkehren"
"align edits","Bearb.vorg. angleichen"
"edit length","Länge bearbeiten"
"trim selection","Auswahl kürzen"
"Changing the base codecs may require rebuilding indecies.","Änderung der Standard-Codecs erfordert möglicherweise die Neuerstellung der Indizes."
"Cinelerra: Attach Effect","Cinelerra: Effekt hinzufügen"
"Cinelerra: Audio Compression","Cinelerra: Audiokompression"
"Cinelerra: Camera","Cinelerra: Kamera"
"Cinelerra: Change Effect","Cinelerra: Effekt ändern"
"Cinelerra: Channel Info","Cinelerra: Kanalinfo"
"Cinelerra: ChanSearch","Cinelerra: KanalSuche"
"Cinelerra: Confirm Quit","Cinelerra: Beenden bestätigen"
"Cinelerra: Crop","Cinelerra: Schneiden"
"Cinelerra: DbWindow","Cinelerra: DbFenster"
"Cinelerra: Delete All Indexes","Cinelerra: Lösche alle Indizes"
"Cinelerra: Edit length","Cinelerra: Länge bearb."
"Cinelerra: Levels","Cinelerra: Level"
"Cinelerra: Load","Cinelerra: Lade"
"Cinelerra: Locate file","Cinelerra: Datei wählen"
"Cinelerra: Mask","Cinelerra: Maske"
"Cinelerra: Path","Cinelerra: Pfad"
"Cinelerra: RemoteWindow","Cinelerra: RemoteFenster"
"Cinelerra: Remove assets","Cinelerra: Entferne Assets"
"Cinelerra: Resize Track","Cinelerra: Spurgröße ändern"
"Cinelerra: Set edit title","Cinelerra: Bearb.titel festlegen"
"Cinelerra: Set Format","Cinelerra: Format festlegen"
"Cinelerra: Video Compression","Cinelerra: Video-Kompression"
"Cinelerra: Viewer","Cinelerra: Betrachter"
"Swap dimensions","Abmessungen tauschen"
"nudge","Startverzögerung"
"(must be root)","(root-Rechte benötigt)"
"Background Rendering (Video only)","Hintergrund-Rendern (nur Video)"
"trap sigSEGV","SIGSEGV einfangen"
"trap sigINT","SIGINT einfangen"
"On file open, ffmpeg probes early","""early ffmpeg probe"" bei Dateiöffnung"
"build ffmpeg marker indecies","erstelle ffmpeg Marker-Indizes"
"Playback buffer samples:","Wiedergabepuffer-Samples:"
"Scaling equation: Enlarge / Reduce ","Größenausgleich: Vergrößern / Verkleinern"
"TOC Program No:","TOC Programm-Nr:"
"Use software for positioning information","Nutze Software für Positionsinformation"
"Audio playback in real time priority (root only)","Audio-Wiedergabe in Echtzeit-Priorität (nur root)"
"Enable subtitles/captioning","Aktivieren von Untertiteln"
"Label cells","Marken-Zellen"
"Attach single standlone and share others","Einen einzelnen hinzufügen und andere teilen"
"Range: ","Bereich: "
": Change Effect",": Effekt ändern"
"Look for global plugins here","Hier nach globalen Plugins suchen"
"Global Plugin Path","Pfad f. globale Plugins"
"Look for personal plugins here","Suche hier nach persönlichen Plugins"
"Personal Plugin Path","Pfad für pers. Plugins"
"Playback A","Wiedergabe A"
"Playback B","Wiedergabe B"
"Recording","Aufnahme"
": Preferences",": Einstellungen"
": %s Presets"," %s Voreinstellg."
"News","Neuigkeiten"
"Running","Läuft"
": Record path",": Aufnahmepfad"
"Clipped samples:","Gekappte Samples:"
"File Capture","Datei-Aufnahme"
"Save the recording and quit.","Die Aufnahme speichern und beenden."
"drop overrun frames","überlaufende Frames fallen lassen"
"Drop input frames when behind.","Zurückliegende Eingabeframes fallen lassen."
"fill underrun frames","unterlaufende Frames füllen"
"poweroff when done","Herunterfahren nach Beendigung"
"poweroff system when batch record done.","Fahre System herunter wenn Stapelverarbeitung beendet."
"Stopped","Gestoppt"
"ClrLbls","MarkLös"
": Video in",": Video-Eingang"
": Video in %d%%",": Video-Eingang %d%%"
"Samples to write to disk:","Samples zum Schreiben auf Disc:"
"Record in realtime priority (root only)","Aufnahme in Echtzeitpriorität (nur root)"
"Realtime TOC","Echtzeit-TOC"
"Presentation Timestamps","Präsentations-Zeitstempel"
"View scope","Bereich betrachten"
"Re-enable batches and restart?","Batches reaktivieren und Neustart?"
"execvp poweroff failed","execvp Herunterfahren fehlgeschlagen"
"poweroff imminent!!!\n","Poweroff bevorstehend!!!\n"
"cant vfork poweroff process","Kann poweroff-Prozess nicht vforken"
"Start recording\nfrom current position","Starte Aufnahme\nan aktueller Position"
"Stop operation","Operation beenden"
"Start over","Neu beginnen"
": Record",": Aufnahme"
"Redraw Indexes","Indexe neuzeichnen"
": Redraw Indexes",": Indexe neuzeichnen"
"Redraw all indexes for the current project?","Alle Indexe für aktuelles Projekt neuzeichnen?"
": RemoteWindow",": RemoteFenster"
"Already rendering","Rendere bereits"
": Resize Track",": Spurgröße ändern"
"""%s"" %dC written","""%s"" %dC geschrieben"
"Save as...","Speichern als..."
": Save",": Speichern"
"Enter a filename to save as","Dateinamen zum Speichern auswählen"
": Scale",": Skalieren"
"New camera size:","Neue Kameragröße:"
"New projector size:","Neue Projektorgröße:"
"Scale data","Skalierungsdaten"
": Set Format",": Format einrichten"
"Add","Hinzufügen"
"shell cmds","Shellbefehle"
"Loading...","Laden..."
"Welcome to Cinelerra.","Willkommen bei Cinelerra."
"Load","Lade"
"Entries:","Einträge:"
"Lines:","Zeilen:"
"Prev","Vorheriger"
"cannot open: ""%s""\n%s","Öffnen fehlgeschlagen: ""%s""\n%s"
"Shift-click on a curve keyframe to snap it to the neighboring values.","Shift-Klick auf einen Kurven-Keyframe um ihn auf die Nachbarwerte einzurasten."
"Shift + clicking on an effect boundary causes dragging to affect\njust the one effect.","Shift + Klicken auf einen Effektrand bewirkt, dass Ziehen sich\nnur auf einen Effekt auswirkt."
"Load multiple files by clicking on one file and shift + clicking on\nanother file.  Ctrl + clicking toggles individual files.","Laden Sie mehrere Dateien durch Klicken auf eine Datei sowie\nShift + Klicken auf eine andere Datei. Strg + Klicken schaltet\nzwischen individuellen Dateien um."
"Pressing Tab over a track toggles the Record status.\nPressing Shift-Tab over a track toggles the Record status of all the other tracks.\n","Drücken von Tab über einer Spur wechselt den Aufnahmestatus.\nDrücken Shift-Tab über einer Spur wechselt den Aufnahmestatus aller anderen Spuren.\n"
"Settings->typeless keyframes allows keyframes from any track to be pasted on either\naudio or video tracks.\n","Durch Einstellung->typenlose Keyframes können Keyframes von jedem Track auf\nentweder Audio- oder Videospuren eingefügt werden.\n"
"Paste Transition","Übergang einfügen"
"VDeviceLML::read_buffer: driver crash\n","VDeviceLML::read_buffer: Treibercrash\n"
"VDeviceLML::read_buffer: reopened\n","VDeviceLML::read_buffer: neu geöffnet\n"
"Follow video config","Folge Video-Konfig"
"Fields:","Felder"
"Default A Display:","Standard A-Anzeige:"
"Default B Display:","Standard B-Anzeige:"
": Video out",": Video-Ausgabe"
"Plugin keyframes","Plugin-Keyframes"
"Addition","Addiere"
"Replace","Ersetze"
"Lighten","Aufhellen"
"Viewer","Betrachter"
": Viewer",": Betrachter"
"sample zoom","Sample-Zoom"
"curve zoom (autofit Alt f)","Kurven_Zoom (auto-anpass. Alt F)"
"1080 to 480","1080 zu 480"
"1080 to 540","1080 zu 540"
"Rising Trigger","steig. Auslöser"
"Falling Trigger","fall. Auslöser"
"History Size:","Verlaufsgröße:"
"Window Size:","Fenstergröße:"
"Trigger level:","Auslöselevel:"
"Internal error; pattern array overflow\n","Interner Fehler; pattern array overflow\n"
"Bluebanana: Unable to create Frame for slider\n","Bluebanana: Kann Frame für Slider nicht erstellen\n"
"Unknown colormodel in BluebananaA2Sel:update()\n","Unbekanntes Farbmodell in BluebananaA2Sel: update ()\n"
"Boost luminance only","Nur die Leuchtdichte verstärken"
": CD Ripper",": CD-Ripper"
"Can't get table of contents leadout.","Leadout des Inhaltsverzeichnisses konnte nicht gefunden werden."
"Last frame dropped: ","Letzter fallengelassener Frame: "
"Select lines to keep","Zu behaltende Zeilen wählen"
"Even lines","Gerade Zeilen"
"Average lines","Durchschnittl. Zeilen"
"Swap odd fields","Ungerade Felder tauschen"
"Swap even fields","Gerade Felder tauschen"
"Average even lines","Mittle gerade Zeilen"
"Average odd lines","Mittle ungerade Zeilen"
"Select deinterlacing mode","Deinterlace-Modus auswählen"
"Average bottom fields","Durchschnitt unterer Felder"
"Top field first","Oberes Feld zuerst"
"Denoise power:","Entrausch-Stärke:"
"Selective Temporal Averaging: ","Selekive temporäre Mittelung:"
"Average changing pixels","Durchschnitt f. wechselnde Pixel"
"Average similar pixels","Durchschnitt f. gleiche Pixel"
"Atten: ","Dämpfung"
"Offset: ","Versatz: "
"ON","AN"
"Window size:","Fenstergröße:"
"History:","Verlauf:"
"Peaks:","Spitzen:"
"EchoCancel","EchoEntfernen"
"Amount:","Anzahl:"
"Shape:","Form:"
"Anisotropy:","Anisotropie:"
"Noise scale:","Noise-Größe:"
"RGB Parade on","RGB-Parade an"
"RGB Parade off","RGB-Parade aus"
"Split picture","Bild aufteilen"
"Polynominal","Polynomisch"
"X Offset:","X-Versatz:"
"Y Offset:","Y-Versatz:"
"Interpolate Video","Video interpolieren"
"Macroblock size:","Macroblockgröße:"
"Use optic flow","Optischen Fluss verw."
"Draw motion vectors","Bewegungsvektoren zeichnen"
"Pattern:","Muster:"
"Sphere Stretch","Kugel strecken"
"Sphere Shrink","Kugel schrumpfen"
"Live audio","Live-Audio"
"Maximum angle offset:","Maximaler Winkelversatz"
"Rotation settling speed:","Drehungs-Einschwinggeschwindigkeit"
"Motion settling speed:","Bewegungs-Einschwinggeschwindigkeit"
"Previous frame same block","Vorheriger Frame, gleicher Block"
"Track Point 1","Verfolge Punkt 1"
"Track Point 2","Verfolge Punkt 2"
"Translation search offset:\n(X/Y Percent of image)","Verschiebungssuche-Versatz:\n(X/Y Prozent des Bildes)"
"Search steps:","Suchschritte:"
"Enter the DB to overload by:","Geben Sie die DB zum Überladen an:"
"Oil Painting","Öl-Malerei"
"Use Intensity","Verw. Intensität"
"Output track:","Ausgabespur:"
"Perspective direction:","Perspektivrichtung:"
"Override camera","Überbrücke Kamera"
"Use alpha/black level","Nutze Alpha-/Schwarzpegel"
"Auto Scale","Auto-Skalierung"
"Scale by amount:","Skaliere nach Anzahl:"
"Max duration of gap (Seconds):","Max Dauer der Lücke (Sekunden):"
"Remove Gaps","Lücken entfernen"
"Load...","Laden ..."
"Save reverb","Speichere Reverb"
"Select the reverb file to save as","Wählen Sie die zu speichernde Reverb-Datei"
"Load reverb","Lade Reverb"
"Select the reverb file to load from","Wählen Sie die zu ladende Reverb-Datei"
"Use fixed scale","Festen Maßstab verw."
"Use fixed size","Feste Größe verw."
"Shape Wipe: cannot load shape %s\n","Shape Wipe: kann Form %s nicht laden\n"
"Slide","Gleiten"
"The file %s that was generated from %s is not in PNG format. Try to delete all *.png files.\n","Die Datei %s, die aus %s erzeugt wurde, ist nicht im PNG-Format. Versuchen Sie, alle * .png Dateien zu löschen.\n"
"Access mmap to %s as %s failed.\n","Access mmap to %s as %s failed.\n\n"
"Swap Frames","Frames vertauschen"
"Momentary notes","Momentäre Hinweise"
"Blue Dot","Blauer Punkt"
"PinkLady","Pinke Lady"
"UnFlat","UnEben"
"Frame count:","Frame-Anzahl:"
"Greater","Größer"
"Restart for every frame","Neustart für jeden Frame"
"Don't buffer frames","Keine Frames puffern"
"Use fast fourier transform","Verw. schnelle Fourier-Transformation"
"Use overlapping windows","Verw. überlappende Fenster"
"Fraction of original speed:","Bruchteil der urspr. Geschw.:"
"Pitch:","Abstand:"
"Drop shadow:","Schlagschatten:"
"Outline:","Umrandung:"
"Encoding:","Kodierung:"
"Carrier Track:","Trägerspur:"
"X Magnification:","X-Vergrößerung"
"Y Magnification:","Y-Vergrößerung:"
