"Drag all following edits","Sposta modifiche seguenti"
"Drag only one edit","Sposta questa modifica"
"Drag source only","Trasporta solo sorgente"
"No effect","Nessun effetto"
"Time Format","Formato file:"
"frames per foot","fotogrammi per piede"
"Index files","Indice file"
"Index files go here:","L'indice dei file va qui:"
"Size of index file:","Dimensione file indice:"
"Number of index files to keep:","Numero file indice da mantenere:"
"Index Path","Percorso indice"
"Select the directory for index files","Seleziona una directory per i file indicizzati"
"Editing","Modifica"
"Dragging edit boundaries does what:","Spostando bordi di modifica farai:"
"Button 1:","Pulsante 1:"
"Button 2:","Pulsante 2:"
"Button 3:","Pulsante 3"
"Min DB for meter:","Min DB per meter:"
"Theme:","Tema:"
"Use Hours:Minutes:Seconds.xxx","Usa Ore:Minuti:Secondi.xxx"
"Use Hours:Minutes:Seconds:Frames","Usa Ore:Minuti:Secondi:Frame"
"Use Samples","Usa Campioni"
"Use Frames","Usa Fotogrammi"
"Use Hex Samples","Usa Camp. Esadecimale"
"Use Seconds","Usa Secondi"
"Use Feet-frames","Usa Passo-fotogrammi"
"Use thumbnails in resource window","Usa miniature nella finestra delle risorse"
"Show tip of the day","Mostra suggerimento del giorno"
"Delete keyframe","Cancella fotogramma chiave"
"delete keyframe","cancella fotogramma chiave"
"Show keyframe settings","Mostra Impostazioni fotogramma chiave"
"Copy keyframe","Copia fotogramma chiave"
"smooth curve","attenua curve"
"linear segments","segmenti lineari"
"tangent edit","modifica tangente"
"disjoint edit","modifica disjoint"
"change keyframe tangent mode","cambia modalità keyframe tangente"
"Previous label","Etichetta precedente"
"Next label","Etichetta seguente"
"Load files...","Carica file..."
"Select files to load:","Seleziona file da caricare:"
"Replace current project.","Sostituisci questo progetto."
"Replace current project and concatenate tracks.","Sostituisci il progetto corrente e concatena le tracce."
"Append in new tracks.","Aggiungi nuove tracce."
"Concatenate to existing tracks.","Concatena alle tracce esistenti."
"Create new resources only.","Crea solo nuove risorse."
"load previous","carica precedente"
"Load backup","Carica backup"
"load backup","carico backup"
"Please enter the reel name and number","Inserisci il nome e numero del nastro"
"Use default or previous name and number","Usa nome e numero predefiniti o precedenti"
"Insert nothing","Inserimento nullo"
"Replace current project","Sostituisci il progetto corrente"
"Replace current project and concatenate tracks","Sostituisci il progetto corrente e concatena le tracce"
"Append in new tracks","Aggiungi nuove tracce"
"Concatenate to existing tracks","Concatena alle tracce esistenti"
"Paste at insertion point","Incolla nel punto di inserimento"
"Create new resources only","Crea solo nuove risorse"
"Insertion strategy:","Modalità Inserimento:"
"\nUsage:\n","\nUso:\n"
"%s [-f] [-c configuration] [-d port] [-n nice] [-r batch file] [filenames]\n\n","%s [-f] [-c configurazione] [-d porta] [-n priorità] [-r batch file] [nomi file]\n\n"
"-d = Run in the background as renderfarm client.  The port (400) is optional.\n","-d = Lavora in background come client di elaborazione distribuita.  La porta (400) è opzionale.\n"
"-f = Run in the foreground as renderfarm client.  Substitute for -d.\n","-f = Esegui in alta priorità  come client di elaborazione distribuita.  Sostituisce -d.\n"
"-n = Nice value if running as renderfarm client. (20)\n","-n = Valore priorità se avviato coma client di elaborazione distribuita. (20)\n"
"-c = Configuration file to use instead of %s%s.\n","-c = File di configurazione da usare al posto di %s%s.\n"
"-r = batch render the contents of the batch file (%s%s) with no GUI.  batch file is optional.\n","-r = batch elabora i contenuti del file batch (%s%s) senza GUI.  Il file batch è opzionale.\n"
"filenames = files to load\n\n\n","filenames = lista file da caricare\n\n\n"
"Building Indexes...","Creazione Indici..."
"Edit","Modifica"
"Keyframes","Fotogrammi chiave"
"Tracks","Tracce"
"Settings","Impostazioni"
"Fade","Sfuma"
"Mute","Muto"
"Mode","Modo"
"Pan","Filtro"
"Mask","Maschera"
"Camera X","Telecamera X"
"Camera Y","Telecamera Y"
"Camera Z","Telecamera Z"
"Projector X","Proiettore X"
"Projector Y","Proiettore Y"
"Projector Z","Proiettore Z"
"Window","Finestra"
"Dump CICache","Scarica CICache"
"Dump EDL","Scarica EDL"
"Dump Plugins","Scarica Plugins"
"Dump Assets","Scarica Elementi"
"Undo","Annulla"
"Undo %s","Annulla %s"
"Redo","Rifai"
"Redo %s","Rifai %s"
"Cut keyframes","Taglia fotogrammi chiave"
"Copy keyframes","Copia fotogrammi chiave"
"Paste keyframes","Incolla fotogrammi chiave"
"Clear keyframes","Cancella fotogrammi chiave"
"Straighten curves","Attenua curve"
"Cut default keyframe","Taglia fotogramma chiave predefinito"
"Copy default keyframe","Copia fotogramma chiave predefinito"
"Paste default keyframe","Incolla fotogramma chiave predefinito"
"Clear default keyframe","Cancella fotogramma chiave predefinito"
"Cut","Taglia"
"Copy","Copia"
"Clear","Cancella"
"Paste silence","Incolla silenzio"
"Select All","Seleziona Tutto"
"Clear labels","Cancella etichette"
"Mute Region","Regione Muta"
"Trim Selection","Elimina Selezione"
"Default Transition","Transizione Predefinita"
"Map 1:1","Mappa 1:1"
"Map 5.1:2","Mappa 5.1:2"
"Reset Translation","Resetta Traslazione"
"Delete tracks","Cancella tracce"
"Delete last track","Cancella l'ultima traccia"
"Move tracks up","Muovi la traccia in alto"
"Move tracks down","Muovi la traccia in basso"
"Concatenate tracks","Concatena tracce"
"Loop Playback","Riproduzione Loop"
"Set background render","Seleziona l'elaborazione in background"
"Edit labels","Modifica etichette"
"Edit effects","Modifica Effetti"
"Autos follow edits","Autos segue modifiche"
"Align cursor on frames","Allinea il cursore sui fotogrammi"
"Slow Shuttle","Shuttle Lento"
"Fast Shuttle","Shuttle veloce"
"Save settings now","Salva le impostazioni"
"Saved settings.","Impostazioni salvate."
"Show Viewer","Mostra Visualizzatore"
"Show Resources","Mostra Risorse"
"Show Compositor","Mostra Compositore"
"Show Overlays","Mostra Sovrapposizioni"
"Show Levels","Mostra Livelli"
"Default positions","Posizioni Predefinite"
"%s ETA: %s","%s STIMA: %s"
"hour  min     sec     msec","ore  min     sec     msec"
"Render effect...","Elabora effetto..."
"No recordable tracks specified.","Nessuna traccia registrabile specificata."
"No plugins available.","Nessun plugin disponibile."
"No output file specified.","Non è stato specificato file d'uscita."
"No effect selected.","Nessun effetto selezionato."
"No selected range to process.","Nessuna gamma di processi selezionata."
"Couldn't open %s","Non posso aprire %s"
"Select an effect","Seleziona un effetto"
"Select the first file to render to:","Seleziona il primo effetto da elaborare:"
"Select a file to render to:","Seleziona file da elaborare:"
"Set up effect panel and hit ""OK""","Seleziona il pannello e dai ""OK"""
"Show meters","Mostra misuratori"
"MWindow::init_plugins: couldn't open %s directory\n","MWindow::init_plugins: non posso aprire la cartella %s\n"
"MWindow::init_theme: Default theme %s not exists.\nMaybe an install problem\n","MWindow::init_theme: Il Tema di default %s non è stato trovato.\n"
"Failed to open %s","Fallita apertura %s"
"'s format couldn't be determined.","non può essere stabilito il formato 's."
"load","carica"
"Initializing GUI","Avvio GUI"
"Couldn't open %s for writing.","Non posso aprire in scrittura %s ."
"remove assets","rimuovi elementi"
"Using %s.","%s in uso."
"add track","aggiungi traccia"
"This project's dimensions are not multiples of 4 so\nit can't be rendered by OpenGL.","Le dimensioni di questo progetto non sono multiple\n di 4 quindi non può essere renderizzato da OpenGL."
"asset to size","elemento dimensione"
"asset to rate","elemento percentuali"
"clear","cancella"
"straighten curves","raddrizza curve"
"clear keyframes","cancella fotogrammi chiave"
"clear default keyframe","cancella il fotogramma chiave predefinito"
"clear labels","cancella etichette"
"concatenate tracks","concatena tracce"
"crop","ritaglia"
"cut","taglia"
"cut keyframes","taglia fotogrammi chiave"
"cut default keyframe","taglia fotogramma chiave predefinito"
"delete tracks","Cancella tracce"
"delete track","cancella traccia"
"detach transition","stacca transizione"
"insert effect","inserire effetto"
"drag handle","sposta titolo"
"match output size","aggiusta la dimensione d'uscita"
"move edit","muovi modifica"
"move effect","muovi effetto"
"move effect up","muovi effetto su"
"move effect down","muovi effetto giù"
"move track down","muovi traccia giù"
"move tracks down","muovi tracce giù"
"move track up","muovi traccia su"
"move tracks up","muovi tracce su"
"mute","muto"
"overwrite","sovrascrivi"
"paste","incolla"
"paste assets","incolla elementi"
"paste keyframes","incolla fotogrammi chiave"
"paste default keyframe","incolla fotogramma chiave predefinito"
"silence","silenzio"
"transition","transizione"
"No default transition %s found.","Transizione predefinita %s non trovata."
"resize track","ridimensiona traccia"
"in point","punto d'entrata"
"out point","punto d'uscita"
"splice","dividere"
"Clip %d","Spezzone %d"
"%s\nCreated from main window","%s\nCreato dalla finestra principale"
"label","etichetta"
"trim selection","accorcia selezione"
"new folder","nuova cartella"
"map 1:1","mappa 1:1"
"map 5.1:2","Mappa 5.1:2"
"New...","Nuovo..."
"Cinelerra: New Project","Cinelerra: nuovo Progetto"
": New Project",": Nuovo Progetto"
"Parameters for the new project:","Parametri per il nuovo progetto:"
"Tracks:","Tracce:"
"Samplerate:","Campiona:"
"Framerate:","Freq.fotogrammi:"
"Canvas size:","Formato:"
"Aspect ratio:","Dimensione:"
"Interlace mode:","Interlaccio:"
"Auto aspect ratio","Proporzione aspetto automatica"
"Enter the name of the folder:","Inserisci il nome della cartella:"
"Untitled","Senza Titolo"
"keyframe","fotogramma chiave"
"play patch","esegui correzione"
"mute patch","muta correzione"
"record patch","registra correzione"
"gang patch","gruppo correzioni"
"draw patch","disegna correzione"
"expand patch","espandi correzione"
"Play track","Esegui traccia"
"Arm track","Registra traccia"
"Gang faders","Raggruppa dissolvenze"
"Draw media","Disegna media"
"Don't send to output","Non inviare all'uscita"
"track title","titolo traccia"
"Nudge","Pacca"
"Cache size (MB):","Dimensione cache (MB):"
"Seconds to preroll renders:","Sec. alla preparazione elaborazioni:"
"Background Rendering (Video only)","Elaborazione Background (solo Video)"
"Frames per background rendering job:","Fotogrammi elaborati in background:"
"Frames to preroll background:","Fotogrammi preparati in background:"
"Output for background rendering:","Uscita per elaborazione background:"
"Render Farm","Elaborazione Distribuita"
"Nodes:","Nodi:"
"Master node framerate: %0.3f","Frequenza fotogrammi del Nodo principale: %0.3f"
"Total jobs to create:","Totale lavori da creare:"
"(overridden if new file at each label is checked)","(non in uso se si seleziona un nuovo file per etichetta)"
"On","Acceso"
"Port","Porta"
"Framerate","Freq.Fotogrammi"
"Use background rendering","Usa elaborazione in background"
"Use render farm","Usa elaborazione distribuita"
"Force single processor use","Forza l'uso di un solo processore"
"Consolidate output files on completion","Appena finito completa la produzione dei file"
"Add Node","Aggiungi Nodo"
"Apply Changes","Applica cambiamenti"
"Delete Node","Cancella Nodo"
"Sort nodes","Ordina Nodi"
"Reset rates","Azzera percentuali"
"Use virtual filesystem","Usa filesystem virtuale"
"Audio Out","Uscita Audio"
"Playback buffer size:","Memoria riproduzione:"
"Audio offset (sec):","Taratura Audio (sec):"
"Audio Driver:","Usa Driver:"
"Video Out","Uscita Video"
"Framerate achieved:","Campioni in archivio:"
"Scaling equation:","Equazione ridimensionamento:"
"Preload buffer for Quicktime:","Memoria di precaricamento Quicktime:"
"DVD Subtitle to display:","Numero sottotitoli DVD:"
"Timecode offset:","Taratura tempo:"
"View follows playback","Vedi riproduzioni seguenti"
"Disable hardware synchronization","Disabilita sincronizzazione hardware"
"Nearest neighbor enlarge and reduce","Approssimazione in aumento e riduzione"
"Lanczos enlarge and reduce","Aumento e riduzione Lanczos"
"Bicubic enlarge and reduce","Aumento e riduzione bi-cubica"
"Bicubic enlarge and bilinear reduce","Aumento bi-cubico e riduzione bilineare"
"Bilinear enlarge and bilinear reduce","Aumento bilineare e riduzione bilineare"
"Interpolate CR2 images","Interpolare immagini CR2"
"White balance CR2 images","Bilanciamento del bianco su immagini CR2"
"Decode frames asynchronously","Decodifica asincrona fotogrammi"
"Play every frame","Esegui ogni fotogramma"
"Enable subtitles","Abilita Sottotitoli"
"Fast reverse ( + )","Riavvolgimento veloce ( + )"
"Normal reverse ( 6 )","Riavvolgimento normale ( 6 )"
"Frame reverse ( 4 )","Riavvolgimento per frame ( 4 )"
"Normal forward ( 3 )","Avanti normale ( 3 )"
